   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 15/03/13
 -11.54941 -11.54073 -11.53022 -11.51744 -11.50176 -11.48057 -11.45382 -11.42132
 -11.38015 -11.32556 -11.25158 -11.15152 -11.01914 -10.84859 -10.63508 -10.37741
 -10.08354  -9.76533  -9.43165  -9.09058  -8.74587  -8.39808  -8.05026  -7.70243
 -11.64324 -11.63719 -11.63039 -11.62312 -11.61412 -11.60179 -11.58699 -11.56942
 -11.54523 -11.51373 -11.47169 -11.41210 -11.32997 -11.21785 -11.06412 -10.85654
 -10.59645 -10.29730  -9.97533  -9.64209  -9.30071  -8.95297  -8.60515  -8.25732
 -11.77062 -11.76764 -11.76276 -11.75673 -11.75100 -11.74393 -11.73532 -11.72466
 -11.70966 -11.69128 -11.66710 -11.63084 -11.58203 -11.51159 -11.40217 -11.23934
 -11.01681 -10.74332 -10.43857 -10.12278  -9.79473  -9.44723  -9.09941  -8.75158
 -11.90011 -11.89807 -11.89603 -11.89350 -11.88988 -11.88523 -11.87962 -11.87297
 -11.86484 -11.85388 -11.83865 -11.81768 -11.78792 -11.74255 -11.66815 -11.54393
 -11.36012 -11.12108 -10.84064 -10.56530 -10.27903  -9.93232  -9.58449  -9.23666
 -11.97708 -11.97695 -11.97646 -11.97561 -11.97444 -11.97291 -11.97056 -11.96712
 -11.96295 -11.95736 -11.94959 -11.93895 -11.92321 -11.89691 -11.84933 -11.76348
 -11.62787 -11.43623 -11.19597 -10.98792 -10.76776 -10.42228 -10.07446  -9.72664
 -11.88122 -11.89085 -11.90003 -11.90842 -11.91569 -11.92229 -11.92827 -11.93322
 -11.93664 -11.93852 -11.93941 -11.93939 -11.93642 -11.92750 -11.90691 -11.86310
 -11.78798 -11.66877 -11.49461 -11.36429 -11.20631 -10.86204 -10.51434 -10.16667
 -11.55151 -11.58123 -11.61062 -11.63952 -11.66779 -11.69654 -11.72442 -11.74989
 -11.77362 -11.79524 -11.81480 -11.83263 -11.84706 -11.85583 -11.85683 -11.84799
 -11.82958 -11.78909 -11.70145 -11.66598 -11.57075 -11.22782 -10.88064 -10.53357
 -11.22379 -11.26600 -11.30878 -11.35210 -11.39651 -11.44450 -11.49357 -11.54108
 -11.58869 -11.63413 -11.67620 -11.71585 -11.74966 -11.77528 -11.79358 -11.80816
 -11.82698 -11.84216 -11.82533 -11.88268 -11.85637 -11.51505 -11.16856 -10.82249
 -11.03033 -11.07817 -11.12716 -11.17761 -11.23057 -11.28778 -11.34841 -11.41071
 -11.47373 -11.53648 -11.59748 -11.65434 -11.70209 -11.74076 -11.77436 -11.80474
 -11.84460 -11.89135 -11.91576 -12.03980 -12.07319 -11.73295 -11.38650 -11.04077
 -10.95732 -11.00832 -11.06025 -11.11382 -11.17148 -11.23431 -11.30154 -11.37195
 -11.44477 -11.51905 -11.59220 -11.66045 -11.71796 -11.76552 -11.80895 -11.85008
 -11.90332 -11.96703 -12.01133 -12.17390 -12.24665 -11.90643 -11.55886 -11.21135
 -10.97901 -11.03139 -11.08557 -11.14160 -11.20106 -11.26626 -11.33727 -11.41297
 -11.49195 -11.57205 -11.65081 -11.72593 -11.79048 -11.84366 -11.89093 -11.93698
 -11.99693 -12.06800 -12.12094 -12.30394 -12.39914 -12.05812 -11.70842 -11.35792
 -11.07038 -11.12367 -11.17874 -11.23553 -11.29583 -11.36296 -11.43634 -11.51394
