   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 18/03/13
 -22.95327 -22.83903 -22.72459 -22.60778 -22.48703 -22.36269 -22.23032 -22.08641
 -21.93295 -21.76429 -21.57812 -21.38095 -21.18045 -20.98970 -20.81439 -20.62898
 -20.41124 -20.15321 -19.86188 -19.54946 -19.22756 -18.90298 -18.57772 -18.25205
 -18.05728 -17.95341 -17.84956 -17.74407 -17.63480 -17.51988 -17.39745 -17.26695
 -17.12965 -16.98343 -16.82681 -16.66299 -16.50314 -16.36089 -16.24192 -16.12983
 -16.00065 -15.83352 -15.61656 -15.35417 -15.06381 -14.76492 -14.46359 -14.16073
 -14.58248 -14.50114 -14.42114 -14.34164 -14.25968 -14.17098 -14.07410 -13.96883
 -13.85433 -13.73090 -13.59892 -13.46120 -13.33182 -13.22219 -13.13233 -13.04706
 -12.95050 -12.82642 -12.65622 -12.43534 -12.17824 -11.90881 -11.63497 -11.35799
 -12.08579 -12.03066 -11.97951 -11.93010 -11.87731 -11.81900 -11.75300 -11.67756
 -11.59208 -11.49644 -11.39157 -11.28175 -11.17972 -11.09389 -11.02194 -10.95074
 -10.86827 -10.76090 -10.61236 -10.42636 -10.21916 -10.00497  -9.78840  -9.57026
 -10.37070 -10.34835 -10.32393 -10.29573 -10.26262 -10.22310 -10.17517 -10.11788
 -10.05226  -9.97623  -9.89058  -9.80242  -9.72088  -9.65070  -9.58881  -9.52375
  -9.44689  -9.34790  -9.21518  -9.06578  -8.91847  -8.77061  -8.62118  -8.47036
  -9.16006  -9.14988  -9.13650  -9.11978  -9.09980  -9.07416  -9.04222  -9.00370
  -8.95710  -8.90127  -8.83744  -8.77069  -8.70904  -8.65298  -8.59655  -8.53533
  -8.46153  -8.36505  -8.24304  -8.11964  -8.01174  -7.90670  -7.80063  -7.69363
  -8.29817  -8.29182  -8.28347  -8.27319  -8.26103  -8.24603  -8.22594  -8.19955
  -8.16817  -8.13021  -8.08526  -8.03678  -7.99039  -7.94641  -7.89974  -7.84388
  -7.77249  -7.68006  -7.56838  -7.46169  -7.37388  -7.28985  -7.20513  -7.11984
  -7.69806  -7.69397  -7.68933  -7.68305  -7.67477  -7.66527  -7.65265  -7.63507
  -7.61339  -7.58679  -7.55497  -7.51992  -7.48599  -7.45180  -7.41140  -7.36062
  -7.29276  -7.20339  -7.10050  -7.00438  -6.92417  -6.84707  -6.76942  -6.69136
  -7.28471  -7.28233  -7.27912  -7.27473  -7.26929  -7.26257  -7.25366  -7.24170
  -7.22649  -7.20736  -7.18445  -7.15932  -7.13355  -7.10547  -7.07058  -7.02380
  -6.95902  -6.87361  -6.77636  -6.68581  -6.60991  -6.53691  -6.46342  -6.38960
  -7.00098  -6.99895  -6.99642  -6.99371  -6.99039  -6.98546  -6.97880  -6.97041
  -6.95962  -6.94537  -6.92842  -6.91096  -6.89054  -6.86564  -6.83497  -6.79201
  -6.73137  -6.65110  -6.55647  -6.46743  -6.39410  -6.32401  -6.25346  -6.18259
  -6.80968  -6.80768  -6.80532  -6.80353  -6.80179  -6.79898  -6.79459  -6.78834
  -6.77978  -6.76914  -6.75637  -6.74133  -6.72614  -6.70797  -6.68024  -6.64048
  -6.58289  -6.50379  -6.41126  -6.32376  -6.24979  -6.17848  -6.10667  -6.03449
  -6.68385  -6.68223  -6.68122  -6.68016  -6.67821  -6.67568  -6.67230  -6.66777
